last_name, first_name,player_id,year,xslg被長打率,exit_velocity_avg擊球初速,launch_angle_avg擊球仰角,hard_hit_percent強擊球率,z_swing_miss_percent揮空率,groundballs_percent滾地球比,flyballs_percent飛球比,ff_avg_spin轉速
Loaisiga, Jonathan,642528,2021,0.254,84,1.5,24.1,21.3,61.5,15.9,2433
Raley, Brooks,548384,2021,0.381,83,10.3,21.5,25,47.1,22.3,2430
Smith, Drew,622098,2021,0.41,89.5,19.3,40.6,18.9,34.9,25.5,2430
Lamet, Dinelson,659275,2021,0.379,86.9,16.1,35.2,20.3,39.8,25,2430
Wells, Tyler,669330,2021,0.418,90,24.8,41.1,24.1,21.9,39.7,2428
Kennedy, Ian,453178,2021,0.427,90.8,26.7,44.9,22.7,25.2,38.1,2427
Megill, Trevor,656730,2021,0.483,91.3,16.7,46.1,14.4,39.5,23.7,2425
Glasnow, Tyler,607192,2021,0.332,91.5,13,46.8,24.9,45.3,25.8,2424
Gilbreath, Lucas,656458,2021,0.31,84.2,13.6,23.1,21.8,45.3,29.1,2424
Gray, Sonny,543243,2021,0.326,86.6,8.8,32.1,15.2,49,22.7,2423
Poteet, Cody,547001,2021,0.467,91.5,18.8,42.9,16.5,34.5,29.8,2422
Bielak, Brandon,656232,2021,0.369,87.2,10.4,34.5,16,46.6,21.6,2421
Smith, Caleb,592761,2021,0.384,86.8,23.7,29.1,23.2,28.8,35.3,2420
Stroman, Marcus,573186,2021,0.419,89.1,6.3,42,16.1,52.6,20,2419
Treinen, Blake,595014,2021,0.261,83.3,10.4,27.2,16.7,52.6,19.7,2419
Taillon, Jameson,592791,2021,0.401,88.9,20.9,40.4,19.5,34.4,32.2,2418
deGrom, Jacob,594798,2021,0.249,87.7,13.7,36.7,29.3,44.6,25.9,2418
Cisnero, Jose,542585,2021,0.378,87.1,14,32.1,21.6,47,20.8,2415
Webb, Jacob,657097,2021,0.402,87.4,14.2,29.5,26.1,36.2,30.5,2415
Patino, Luis,672715,2021,0.426,89.8,20.6,40.5,19.2,31.7,30.4,2415
Lorenzen, Michael,547179,2021,0.341,88.5,9.7,42.7,17.2,44.9,23.6,2409
Thompson, Zach,605507,2021,0.365,87.6,13.9,34.4,17.1,45,30.3,2409
Bowden, Ben,641386,2021,0.419,88.7,22.6,36.3,23.8,27.4,29.2,2409
Lynn, Lance,458681,2021,0.322,87.7,16,36,20.8,39.9,30,2407
Crowe, Wil,640444,2021,0.456,88.8,13.7,37.1,15.6,44,28,2407
Knebel, Corey,608349,2021,0.321,90.1,12.2,27.4,25,45.2,21,2403
Wendelken, J.B.,605525,2021,0.416,87.9,11.9,34.6,18.8,45.9,24.1,2400
Rainey, Tanner,663432,2021,0.426,91.9,23.4,46.9,26.4,24.7,43.2,2400
Snell, Blake,605483,2021,0.431,89.3,12.5,41.2,19.7,41.6,29.2,2399
Means, John,607644,2021,0.441,87.9,20.3,37.8,23,33.3,30.5,2399
Montas, Frankie,593423,2021,0.404,89.3,11.6,42.3,20.9,43.5,25.3,2398
Freeland, Kyle,607536,2021,0.415,88.4,11.4,35.3,12.5,45.7,23.4,2398
Fairbanks, Pete,664126,2021,0.305,87.9,12.5,31.5,25.3,42.3,25.2,2397
Sadler, Casey,594987,2021,0.273,85.4,3.5,30.9,10.5,63.9,15.5,2396
Barnes, Jacob,606930,2021,0.437,90,10.3,39.8,16.9,44.6,27.7,2396
Hendriks, Liam,521230,2021,0.32,89.8,19.4,40.1,25.5,33.1,35.9,2395
Knehr, Reiss,663753,2021,0.463,90.3,16.8,47.1,20.3,35.6,33.3,2395
Norris, Daniel,596057,2021,0.386,92.3,10.2,45.6,14.7,47.5,22.8,2392
Davis, Wade,451584,2021,0.498,90.4,17.1,46.6,15.4,35.9,30.5,2391
Romano, Jordan,605447,2021,0.296,89.1,12.3,33.8,22.2,47.2,26.1,2390
Santana, Dennis,642701,2021,0.414,88,9.6,35.9,18.2,51.3,22.4,2390
Wheeler, Zack,554430,2021,0.318,84.6,8.4,28.5,20.3,50.9,16.2,2388
Chatwood, Tyler,543022,2021,0.35,90.2,6.1,43.9,17.3,50,14.6,2387
Ginkel, Kevin,656464,2021,0.462,86.4,15.7,36.6,13.7,42.7,29.3,2387
Cishek, Steve,518553,2021,0.322,85,8.9,32.7,14.4,50.8,21.8,2385
Reyes, Alex,621052,2021,0.304,87.2,17.7,34.5,22,38.1,30.4,2385
Boxberger, Brad,502202,2021,0.348,88.3,19.2,35.1,29.2,39.7,25.8,2383
Kay, Anthony,641743,2021,0.429,86.7,7.3,33.3,18.6,47.9,21.9,2383
King, Michael,650633,2021,0.417,88.7,7.6,43.4,21.5,46.2,19.8,2383
Familia, Jeurys,544727,2021,0.358,88.1,4.9,39.4,16.4,51.9,20,2382
Hand, Brad,543272,2021,0.432,88.2,14.4,37.3,15.5,42.2,31.9,2381
Farrell, Luke,608652,2021,0.493,91.4,13.3,42.7,14.9,37.3,32,2379
Middleton, Keynan,641871,2021,0.415,88.9,18.1,31.6,26.3,31.6,25.3,2379
Gonsolin, Tony,664062,2021,0.333,88.2,16.7,35,18.5,37.9,31.4,2379
Stephan, Trevor,663986,2021,0.472,89.7,16.5,42.8,24.5,33.5,32.4,2378
Kinley, Tyler,641755,2021,0.392,89.2,18,35.7,20.2,39.2,27.6,2376
Rogers, Trevor,669432,2021,0.343,87.7,12.5,36.7,24.2,41.6,26.1,2375
Chapman, Aroldis,547973,2021,0.363,88,12.1,40,30.9,43.8,24.8,2373
Hernandez, Carlos,672578,2021,0.387,89.8,15.2,39.3,19.2,40.2,28,2372
Velasquez, Vince,592826,2021,0.471,90.8,20.6,43.5,21.9,32.8,32.1,2370
Howard, Sam,607572,2021,0.336,87.3,13.4,30.8,30,44.2,28.8,2370
Peralta, Freddy,642547,2021,0.289,86.6,21.4,31.8,26.2,34,32.4,2370
May, Trevor,543507,2021,0.349,88.6,17.4,34,25.3,37.1,33.3,2369
Thompson, Keegan,624522,2021,0.441,90.1,12.9,44.2,16.6,43.5,26,2368
Heuer, Codi,676051,2021,0.387,87.3,12.7,36.5,18.7,45.5,21.5,2366
Strickland, Hunter,519326,2021,0.396,86.9,20.3,29.4,22.3,35,28.7,2365
Ellis, Chris,595939,2021,0.444,92.6,23,52.4,19.9,30.5,25.6,2365
Vesia, Alex,681911,2021,0.311,87.6,23.5,34.9,33.8,25.3,45.8,2365
Steckenrider, Drew,608716,2021,0.362,90.7,16.5,38.3,16,38.8,29.3,2362
Rodriguez, Jefry,622446,2021,0.472,90.4,19.9,40.5,13.1,31.1,36.5,2362
Kelly, Merrill,518876,2021,0.432,89,12.9,39.6,13,44.7,24.2,2359
Voth, Austin,608723,2021,0.504,88.6,15.4,41.3,17.6,41.3,25,2358
Dunn, Justin,643290,2021,0.425,89.4,20,37.5,17.2,33.8,38.2,2357
Woodruff, Brandon,605540,2021,0.353,86.2,10.6,32.7,23.2,43.4,22.6,2356
Keller, Mitch,656605,2021,0.452,91.5,11.5,47.5,12.4,41,24.8,2354
Garcia, Luis,677651,2021,0.394,88.1,15.9,38.7,20.6,39.2,29.8,2354
Iglesias, Raisel,628452,2021,0.331,86.2,13.9,33.8,33.9,40.8,31.2,2351
Gallegos, Giovanny,606149,2021,0.347,89,20.7,38.6,21.4,33.3,31.7,2350
Neris, Hector,593576,2021,0.317,86.6,11.7,35.8,28.1,50,25,2349
Minter, A.J.,621345,2021,0.318,86.7,11.8,35.2,23.6,47.9,22.5,2349
Manoah, Alek,666201,2021,0.321,86.8,16.3,31.2,23.6,39.5,29.3,2349
Mayers, Mike,594577,2021,0.391,91,16,41.8,23.4,38.8,31.1,2348
Soto, Gregory,642397,2021,0.329,89.1,11.1,35.8,21.6,45.9,25.8,2348
Selman, Sam,572125,2021,0.401,84.1,25.5,27,22,24.3,35.1,2346
Alcala, Jorge,660896,2021,0.404,86.9,11.7,37.3,22.3,43.1,29.4,2346
Giolito, Lucas,608337,2021,0.362,87.7,18.3,34.2,24.2,34.2,26.9,2345
Bickford, Phil,641360,2021,0.359,90.4,12.1,39.7,21.8,46.8,25.4,2344
McGowin, Kyle,641851,2021,0.334,85.8,20.2,32.5,19.9,35.1,28.6,2344
Holmes, Clay,605280,2021,0.292,87.1,-6.5,34.8,17.5,68.5,13.3,2343
Lange, Alex,656638,2021,0.491,93.9,11.5,52.9,17.5,44.2,22.1,2342
Andriese, Matt,542882,2021,0.461,91.3,12.2,45.2,15.8,44.5,25.2,2341
Javier, Cristian,664299,2021,0.416,90.6,22.5,43.2,24.5,28.2,33.8,2341
Sandlin, Nick,680704,2021,0.261,84,12.6,27.8,24.1,41.7,27.8,2341
Morton, Charlie,450203,2021,0.332,88.1,7.7,32.5,19.4,49.5,20,2340
Sborz, Josh,622250,2021,0.366,91.1,15,41.7,20.4,41.7,25.6,2340
Hill, Rich,448179,2021,0.414,88.3,18,34.8,17.3,35.9,30.7,2339
Soria, Joakim,465657,2021,0.4,88.3,18.2,38.7,19.1,33,27.4,2337
Gonzalez, Chi Chi,592346,2021,0.542,90.2,11.7,45,12.4,40.5,22.9,2337
Akin, Keegan,669211,2021,0.47,89.8,17.8,42.9,18.2,37.3,33,2337
Greene, Conner,641632,2021,0.394,89.5,14.8,33.8,18.1,38.8,30,2336
Mahle, Tyler,641816,2021,0.363,87.8,13.3,34.3,21.9,44,24.8,2336
Boyd, Matthew,571510,2021,0.409,87.8,17.1,36.3,18.3,39.6,29.2,2333
Bieber, Shane,669456,2021,0.385,89.7,9.6,43.6,21.3,44.9,21.4,2333
White, Mitch,669952,2021,0.37,88.7,9.3,37.4,16.1,48.1,25.2,2332
Thornton, Trent,663423,2021,0.465,90.4,14.1,47.2,18.8,41.7,24.3,2331
Crochet, Garrett,676979,2021,0.315,88.8,14.2,39,19.8,40.4,20.6,2331
Guerra, Junior,448855,2021,0.351,86.7,11,35.5,17.4,48.7,22.3,2329
Ruiz, Jose,614179,2021,0.419,92.1,14.5,49.2,18.1,42.1,26.8,2329
Fry, Paul,643316,2021,0.307,88.4,11,34.5,17.2,50,18.1,2329
Civale, Aaron,650644,2021,0.461,88.3,12.1,39.3,14.5,45.3,25,2327
Tapia, Domingo,593619,2021,0.353,90,9.2,42.6,12.7,46.8,19.1,2326
Castillo, Luis,622491,2021,0.347,87.7,4.2,36.9,21.6,57.8,17,2325
Gallen, Zac,668678,2021,0.382,89.2,12.3,43,14.4,44.8,25.8,2325
Zimmermann, Bruce,669145,2021,0.531,91,13.7,44.9,17.7,41,23.9,2325
Keller, Brad,641745,2021,0.505,90,7.9,45,14.3,49.1,22.3,2322
Taylor, Blake,642130,2021,0.359,84.5,16.7,28.8,17.2,41.6,27.2,2319
Hernandez, Darwinzon,650382,2021,0.335,88.2,10.9,38,27.2,45.7,19.6,2319
Shreve, Chasen,592741,2021,0.363,88,16.7,30.4,14.7,39.8,26.7,2316
Graveman, Kendall,608665,2021,0.33,87.4,6.2,35.3,14.8,54.9,16.5,2315
Hudson, Daniel,543339,2021,0.399,90.5,19.9,43.7,24.7,29.4,40.3,2313
Bumgarner, Madison,518516,2021,0.432,88.8,18.5,38.5,15.9,33.9,30.3,2312
Tomlin, Josh,458708,2021,0.503,89.1,18.1,39.4,15.6,34.3,30.9,2311
Watson, Tony,453265,2021,0.359,86,10.5,30.1,21.3,47.9,24.5,2310
Ramirez, Yohan,670990,2021,0.323,86.9,20.2,29.7,26.4,37.5,29.7,2310
Thielbar, Caleb,573204,2021,0.418,88.4,20.8,39.2,21.5,33.7,33.1,2309
Karinchak, James,675916,2021,0.334,90.1,18.4,40.7,26.3,40.7,26,2309
Barria, Jaime,642545,2021,0.473,90,14.2,41.8,13,44.3,23.2,2308
Keller, Kyle,664918,2021,0.422,90.2,23,35.9,12.7,30.4,39.1,2308
Kremer, Dean,665152,2021,0.542,93.1,21.2,45.3,14.1,30.2,29.7,2308
Jax, Griffin,643377,2021,0.524,90.8,19.8,43.7,13.9,32.2,41.8,2307
Barlow, Scott,605130,2021,0.354,88.3,14.6,36.8,18.7,38.9,29.7,2306
Crick, Kyle,605195,2021,0.328,84.4,16.5,22.6,20,38.7,24.2,2305
Swanson, Erik,657024,2021,0.367,87.7,22,30.6,24.9,32.7,37.8,2303
Alvarez, Jose,501625,2021,0.341,86.4,8.3,32.8,15.1,51,16.2,2302
Kimbrel, Craig,518886,2021,0.268,90.5,19.7,39.8,29.9,30.3,33.9,2301
Mikolas, Miles,571945,2021,0.429,87.7,9.8,37.3,12.9,53.5,21.8,2300
Benjamin, Wes,605138,2021,0.458,90.5,20.8,36.8,20.7,28.9,35.5,2300
Morgan, Adam,605388,2021,0.391,87.2,9.3,40.3,19.2,47.8,29.9,2300
Happ, J.A.,457918,2021,0.503,90.2,16.4,41.8,14,35.7,30.7,2298
Guerra, Deolis,500610,2021,0.346,85.6,22,33.9,18.4,35.5,32.2,2298
Dolis, Rafael,503569,2021,0.341,87.4,13.9,32.2,19.7,42.5,25.3,2298
Foster, Matt,641582,2021,0.505,90.3,21.3,44.5,19,29.4,40.3,2298
Cotton, Jharel,605194,2021,0.317,85.8,26,23.3,21.8,32.2,33.3,2297
Holland, Derek,502706,2021,0.401,89.1,11.2,42.5,20,45.8,24.2,2296
Cabrera, Genesis,650893,2021,0.333,88.3,13.2,34.8,19.1,43.3,25.3,2296
Alzolay, Adbert,640470,2021,0.452,89.3,10.8,38.1,19.2,47.2,25.6,2295
Newcomb, Sean,656794,2021,0.32,87.1,10.4,34.6,18.6,38.5,24.4,2295
Pivetta, Nick,601713,2021,0.385,89.7,16.7,40.4,17.2,38.9,31,2294
Rodon, Carlos,607074,2021,0.314,89.2,18.7,36.2,24.4,38.8,29.9,2293
Gibson, Kyle,502043,2021,0.368,88.8,7.4,39.1,13.7,52.4,18.4,2292
Anderson, Tyler,542881,2021,0.425,87,18.2,33,19.7,37.7,28.5,2291
Sulser, Cole,642121,2021,0.341,88.1,14.9,39.8,22.6,41,28.6,2290
Bednar, David,670280,2021,0.304,87.2,15.4,31.4,24.2,42.1,25.7,2290
Luzardo, Jesus,666200,2021,0.459,89.5,14.3,39,19.1,39.4,28.9,2289
Sale, Chris,519242,2021,0.347,84.6,5.7,32.2,22.5,47,25.2,2288
Brogdon, Connor,641401,2021,0.333,85.9,15.5,31.3,25.6,47,25.3,2288
Robles, Hansel,570663,2021,0.423,91.1,11.9,47.5,20.5,43.6,24,2287
Diaz, Edwin,621242,2021,0.265,87.6,17.2,26.5,24.4,34.6,27.9,2287
Farmer, Buck,571656,2021,0.502,91.2,14.7,45.4,20.9,37,32.4,2284
Springs, Jeffrey,605488,2021,0.378,87.6,13.8,36.3,25.7,35.3,29.4,2284
Montgomery, Jordan,656756,2021,0.404,87.9,12.1,36.5,20.7,43,25.1,2284
Gausman, Kevin,592332,2021,0.382,89.1,12.1,40.9,22.4,42.7,28.1,2283
Wantz, Andrew,681806,2021,0.412,87.8,20.8,34.3,23.7,29.9,25.4,2283
Wick, Rowan,592858,2021,0.32,85.4,14.2,30.9,19.3,34.5,29.1,2282
Coonrod, Sam,656322,2021,0.359,86.4,4.1,37,23,56.3,20.2,2282
Ponce de Leon, Daniel,594965,2021,0.427,89.6,19.1,37.4,17.2,37.4,37.4,2281
Nance, Tommy,667297,2021,0.418,88.1,1.9,42,13,58,16,2281
Moore, Matt,519043,2021,0.441,89.5,16,38.1,16.8,41.1,29,2279
Lyles, Jordan,543475,2021,0.482,89.9,15.3,41.6,15.2,38.8,29.5,2278
Fulmer, Carson,608334,2021,0.43,89.3,7.8,43.4,18.3,48.7,26.3,2278
Smith, Burch,572143,2021,0.444,91.1,15.5,41.9,17.3,37.8,28.4,2277
Stammen, Craig,489334,2021,0.385,88.4,8.1,35.9,12.5,56.3,22.7,2276
Barnes, Matt,598264,2021,0.325,89.8,18,41.4,18.9,42.2,29.3,2276
Duffy, Danny,518633,2021,0.415,89.5,17.7,40.6,22,33.9,24.2,2273
Ray, Robbie,592662,2021,0.398,90.4,17.6,43.1,22.7,37.3,29.4,2272
Duffey, Tyler,608648,2021,0.358,91.4,10.3,45.4,15.2,46,27.6,2272
Hearn, Taylor,621368,2021,0.434,88.5,15.7,38.3,19,40.9,27.4,2271
Curtiss, John,595928,2021,0.397,91.6,16.8,43.8,18.9,40,26.2,2269
McHugh, Collin,543521,2021,0.285,86.7,15.6,29.6,23.2,43.4,28.3,2267
Cabrera, Edward,665795,2021,0.54,90.3,8.5,47.8,19.7,42,26.1,2266
DeSclafani, Anthony,543101,2021,0.411,88.9,11.6,38.8,16,45,25.8,2265
Canning, Griffin,656288,2021,0.433,89.6,16.8,39.5,22.1,36.2,31.4,2265
Maeda, Kenta,628317,2021,0.382,87.7,15,36.3,19.3,40,25.3,2264
Singer, Brady,663903,2021,0.398,88.5,7,37.6,16.5,50.9,18.4,2264
Kluber, Corey,446372,2021,0.372,86.9,13.9,34.4,15.2,43.9,24.9,2263
Montero, Rafael,606160,2021,0.329,86.7,5.9,34.2,17.8,55.9,19.3,2262
Smith, Riley,642092,2021,0.481,89.3,10,41.1,11.3,44.3,25.6,2262
Quijada, Jose,650671,2021,0.389,86,14.4,48.2,23.6,39.3,28.6,2262
Doolittle, Sean,448281,2021,0.417,90.9,26.4,42.1,22.4,20.7,34.5,2261
Bedrosian, Cam,592135,2021,0.477,87.9,18.3,42.1,15.8,36.8,30.3,2261
Chargois, JT,608638,2021,0.365,89.2,12.2,36.5,16.6,44.5,26.3,2260
Staumont, Josh,622251,2021,0.385,91.7,18,45.4,19,38.7,31.3,2260
Carrasco, Carlos,471911,2021,0.452,89,10.4,38.5,20.8,43.8,27.2,2259
Young, Alex,622065,2021,0.483,90.2,9.9,39.9,16.9,46.2,25.4,2257
Ponce, Cody,664074,2021,0.475,88.3,11.6,38.2,13.2,43.5,26.7,2257
Clippard, Tyler,461325,2021,0.507,88.1,23.5,38.2,21.3,27.6,42.1,2256
Peters, Dillon,596071,2021,0.416,88.6,10.7,41,21,48.2,20.5,2256
Lauer, Eric,641778,2021,0.394,89.8,18.2,37.1,20.5,37.7,31.9,2256
McKenzie, Triston,663474,2021,0.412,90.3,21.6,42.3,17.5,30.2,30.5,2256
McClanahan, Shane,663556,2021,0.436,91.7,8.5,45.7,19.4,47.2,21.1,2256
Barlow, Joe,669618,2021,0.356,89.2,17.2,36.1,20.1,38.9,27.8,2256
Oviedo, Johan,670912,2021,0.453,87.7,7.1,35.6,16.1,50.5,25.3,2256
Greene, Shane,572888,2021,0.375,89.7,20.8,40.8,14.9,36.6,25.4,2255
Hill, Tim,657612,2021,0.379,87.4,2.8,38.8,20,61.8,20,2255
Head, Louis,545343,2021,0.338,87.4,24.6,27.8,17.6,31.1,43.3,2254
Garza, Justin,621057,2021,0.522,92.1,12.6,53.1,22.1,37,21,2254
Gray, Josiah,680686,2021,0.454,88.3,22.1,36.2,17.9,32.7,33.2,2254
Mantiply, Joe,573009,2021,0.378,86.6,7.7,36.4,18.8,47.1,17.4,2250
Plutko, Adam,592644,2021,0.547,91.3,23.2,39.8,19.8,30.4,38.1,2250
Zimmer, Kyle,622092,2021,0.403,89.1,10.7,38.1,17.1,51.7,26.5,2250
Williams, Devin,642207,2021,0.274,85.7,11.4,28.4,34,45.9,27.5,2250
Melancon, Mark,453343,2021,0.383,86.6,-0.5,36.1,12.6,57.2,13.9,2249
Wilson, Justin,458677,2021,0.414,86.9,16,36.3,19.1,47.1,31.4,2249
Valdez, Phillips,570488,2021,0.386,88.3,5,36.2,18.5,59.5,22.4,2249
Brentz, Jake,641394,2021,0.368,89.4,7.5,38.6,19.7,50,24.7,2248
Whitley, Kodi,676831,2021,0.328,83.6,16.2,24.2,26,38.7,25.8,2248
Taylor, Josh,657031,2021,0.376,88.5,12,44.7,21.4,44.7,22,2247
Coulombe, Danny,543056,2021,0.393,90,10.4,39.4,14.4,44.4,27.3,2246
Garrett, Amir,607237,2021,0.406,90.4,8.9,47.2,22.4,51.2,18.4,2246
Rucker, Michael,621074,2021,0.5,90.8,11.9,45.8,19.4,45.8,27.7,2246
Diplan, Marcos,650959,2021,0.419,90.4,15.7,39.3,20.5,41.7,31,2246
Flaherty, Jack,656427,2021,0.457,89.8,13.4,41.5,18.7,40,28.3,2246
Tepera, Ryan,572193,2021,0.28,87.3,14.7,35,21.2,44.8,30.1,2243
Junis, Jakob,596001,2021,0.507,91.2,11.6,43.5,19.3,43.5,27,2243
Chacin, Jhoulys,468504,2021,0.391,86.4,9.9,36.1,16,47.4,24.7,2240
Smith, Will,519293,2021,0.353,88.7,20.7,41.1,21.1,31.3,29.4,2240
Miley, Wade,489119,2021,0.399,85.7,8,34.2,18.6,50.8,18.9,2239
Alcantara, Sandy,645261,2021,0.369,87.6,4.5,39.4,19.3,54,20.5,2239
Cueto, Johnny,456501,2021,0.452,88.4,14.1,38,18.1,41.1,25.1,2238
Watkins, Spenser,657093,2021,0.557,90.7,17.1,38.2,11.9,34.2,30.7,2238
Lakins Sr., Travis,664042,2021,0.432,89.2,14,32.1,24.1,40.7,27.2,2237
Holland, Greg,518813,2021,0.494,88.8,12.1,41.1,19,42.9,27.6,2236
Minaya, Juan,573668,2021,0.331,89.5,6,42.2,19.1,56.9,25.5,2236
Greinke, Zack,425844,2021,0.43,88.3,10.6,35.4,12.4,45.6,23.9,2234
Romo, Sergio,489265,2021,0.365,84.9,17.4,23.3,20.4,37.5,30.1,2234
Sanchez, Miguel,667376,2021,0.458,89.6,11.3,38.3,19,40.7,24.7,2234
Floro, Dylan,571670,2021,0.358,85.9,9.1,32.2,17.6,49.2,24,2233
Guenther, Sean,674944,2021,0.418,89.3,10.6,38.2,12.4,50,22.4,2233
Cahill, Trevor,502239,2021,0.44,88.3,6.9,40.3,14.9,57.1,20.2,2232
