last_name, first_name,player_id,year,xslg被長打率,exit_velocity_avg擊球初速,launch_angle_avg擊球仰角,hard_hit_percent強擊球率,z_swing_miss_percent揮空率,groundballs_percent滾地球比,flyballs_percent飛球比,ff_avg_spin轉速
Ramirez, Erasmo,541640,2021,0.412,89.5,19.1,39.8,15.2,37.3,34.9,2173
Lester, Jon,452657,2021,0.453,88.3,10.4,37.2,15.4,44.8,25.5,2172
Bassitt, Chris,605135,2021,0.362,87.6,12.5,33.2,18.7,42.1,26.9,2171
Underwood Jr., Duane,621249,2021,0.443,89.3,8.8,42.9,16.2,44.2,24.1,2170
Shaw, Bryan,543766,2021,0.399,88.8,8.5,38.4,17.1,46.9,21.9,2168
Mejia, Humberto,650668,2021,0.495,90,17.1,34.2,15.1,31.6,27.6,2168
Yang, Hyeon-Jong,660365,2021,0.574,89.7,13.6,42.4,12.8,43.2,24.6,2168
Mills, Alec,621219,2021,0.429,88.3,7.8,39.3,11.3,52.2,20.3,2167
Gilbert, Tyler,656457,2021,0.4,88.9,17.4,33.9,14,43.2,30.5,2167
Gutierrez, Vladimir,661269,2021,0.421,88.9,13.7,38.7,16.5,44.8,29.1,2167
Estevez, Carlos,608032,2021,0.415,90.5,12.9,39.6,19.8,47.1,29.9,2163
Suter, Brent,608718,2021,0.382,85.5,7.6,34.7,11.8,53,21,2163
Quantrill, Cal,615698,2021,0.39,87.6,12.4,34.5,17.1,44.2,23.9,2163
Davis, Austin,656354,2021,0.399,85.2,14.4,35.5,20.3,46.1,21.1,2163
Funkhouser, Kyle,608335,2021,0.353,87.5,7.2,36.6,20.2,53.1,18,2161
Arihara, Kohei,685503,2021,0.619,91.7,11.7,49.6,9.8,41.6,30.7,2158
Harvey, Matt,518774,2021,0.476,89.5,13.3,40.9,12.7,44,24.3,2157
Murphy, Patrick,641907,2021,0.414,90.6,6.9,45.9,14,45.9,18.8,2157
Hentges, Sam,656529,2021,0.478,89.1,10.9,42.7,12.4,46.3,27.5,2157
Foltynewicz, Mike,592314,2021,0.491,89.8,16.1,43,13.5,38.5,28.8,2155
Megill, Tylor,656731,2021,0.412,89.7,13.7,42,20.4,44.4,29.6,2153
Gray, Jon,592351,2021,0.378,89,9.5,38.2,18.4,49.2,24.9,2152
Howard, Spencer,675921,2021,0.4,88.2,16.7,35.4,22.7,36.7,27.9,2152
Mize, Casey,663554,2021,0.462,89.1,9.3,40,16.2,48.6,27.4,2151
Eflin, Zach,621107,2021,0.416,87.9,11.9,39.2,17.1,43.5,24.7,2149
Corbin, Patrick,571578,2021,0.494,89.4,9,41.2,12.5,48.3,23.9,2148
Wells, Alexander,649144,2021,0.531,89.6,18.4,47.4,13.5,31.6,30.3,2147
Ynoa, Huascar,660623,2021,0.429,90.7,7.7,43.6,14,49,20.6,2147
McGee, Jake,459429,2021,0.38,90.9,20.5,46.2,17,36.1,33.1,2143
Widener, Taylor,642203,2021,0.477,89.9,17.8,45,17.2,35.1,34.2,2143
Chafin, Andrew,605177,2021,0.334,87.7,12.7,33.7,16.2,45.9,28.2,2139
Crismatt, Nabil,622503,2021,0.394,88.9,10,34.3,16.4,52.8,23,2137
Petit, Yusmeiro,433589,2021,0.456,86.5,19.7,30,18.6,37.6,26.2,2136
Kranick, Max,668820,2021,0.394,88.2,21.4,33.9,21.6,34.6,28.3,2136
Gonzales, Marco,594835,2021,0.483,88.1,20.6,37,15.3,34,30.2,2134
Blackburn, Paul,621112,2021,0.468,90.5,9.7,51.1,7.9,51.8,19.7,2134
Webb, Logan,657277,2021,0.329,88.1,-0.5,38.8,15.9,62.2,12.4,2133
Kim, Kwang Hyun,547942,2021,0.418,88,9.2,35.9,14.4,48,24,2132
Abreu, Albert,656061,2021,0.419,83.8,9.3,29.3,23,45.5,27.3,2132
Bradley, Archie,605151,2021,0.366,86.9,6.7,39,13.6,56.6,17,2131
Valdez, Cesar,491624,2021,0.456,89.9,8.2,42.7,18.4,47.3,17.3,2130
Hernandez, Elieser,622694,2021,0.472,90.2,17.5,39.4,18.1,40.6,32.9,2129
Kelly, Joe,523260,2021,0.315,85.5,-0.1,34.5,19,58.4,12.4,2128
Ross, Joe,605452,2021,0.415,87.6,12.2,37.2,20.1,44.7,30.7,2128
Alvarado, Jose,621237,2021,0.305,87.5,1.1,42.6,19.7,55.8,19.4,2126
Whitlock, Garrett,676477,2021,0.332,87.7,7.5,37.1,22.2,49.7,17.8,2125
Anderson, Chase,502624,2021,0.486,85,13.5,35.7,19.7,37.6,30.6,2121
Lopez, Pablo,641154,2021,0.373,86.7,9.2,33.3,19.8,47,20.7,2121
Allard, Kolby,663465,2021,0.481,89.8,15.2,39,14.8,40,31.6,2121
Martin, Chris,455119,2021,0.414,91.2,8,43.2,16.6,50.4,26.6,2118
Cobb, Alex,502171,2021,0.36,88.9,3,37.5,16.1,54.1,15.4,2116
Sawamura, Hirokazu,617228,2021,0.4,89.5,11.3,42.8,21.3,51.4,22.5,2115
Graterol, Brusdar,660813,2021,0.361,86.2,-1.2,33.7,13.6,58.7,7.7,2115
Fried, Max,608331,2021,0.364,86.5,6.1,34.3,16,53.8,20.6,2114
Eovaldi, Nathan,543135,2021,0.366,88,12.8,36.4,18.3,42.7,23.1,2113
Odorizzi, Jake,543606,2021,0.448,89.7,17.2,39.3,15.9,36.7,31.9,2113
Urena, Jose,570632,2021,0.476,90.8,8.2,47.8,13.8,53.1,19,2113
Lynch, Daniel,663738,2021,0.491,90.7,14.5,44.3,15.9,39.8,26.7,2112
Wisler, Matt,605538,2021,0.323,86.8,24,25.6,22.6,25.6,34.7,2110
Banda, Anthony,607455,2021,0.364,88.5,15.5,36.8,19.8,38.7,25.5,2109
Hader, Josh,623352,2021,0.239,87.5,22,30.2,34.3,32.3,32.3,2109
Santillan, Tony,663574,2021,0.356,89.1,17.9,37.7,22.4,34,27.4,2109
Kuhl, Chad,641771,2021,0.406,88.6,11.5,37.2,19.5,45.3,25.6,2108
Perez, Martin,527048,2021,0.471,88.6,10.2,42.2,15.4,44.4,22.9,2107
Brothers, Rex,571521,2021,0.436,91.5,15.8,45,22.1,35,33.3,2107
Flexen, Chris,623167,2021,0.427,89.5,11.5,38.1,13.9,43,28.1,2107
Perez, Cionel,672335,2021,0.364,89.6,11.3,42.4,22.8,51.5,27.3,2107
